City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
Aachen,Germany,50.63N,6.34E,97,1,1,True,0,False,False,confirmation
Aalborg,Denmark,57.05N,10.33E,97,1,1,True,0,False,False,confirmation
Aberdeen,United Kingdom,57.05N,1.48W,97,1,1,True,0,False,False,confirmation
Abilene,United States,32.95N,100.53W,29,1,2,False,1,False,False,confirmation
Acuña,Mexico,29.74N,101.54W,24,12,2,False,2,False,False,confirmation
Adoni,India,15.27N,77.50E,43,1,1,True,0,False,False,confirmation
Afyonkarahisar,Turkey,39.38N,31.21E,95,1,1,True,0,False,False,confirmation
Agadir,Morocco,29.74N,9.23W,36,1,3,False,2,False,False,confirmation
Agartala,India,23.31N,91.75E,43,1,1,True,0,False,False,confirmation
Agra,India,26.52N,78.81E,43,3,1,False,2,False,False,confirmation
Aix En Provence,France,44.20N,4.47E,97,1,1,True,0,False,False,confirmation
Aizawl,India,23.31N,93.50E,40,"1,2",1,True,0,True,False,confirmation
Ajdabiya,Libya,31.35N,20.73E,68,1,1,True,0,False,False,confirmation
Ajmer,India,26.52N,75.22E,43,2,1,False,1,False,False,confirmation
Akola,India,20.09N,76.78E,43,1,1,True,0,False,False,confirmation
Akron,United States,40.99N,80.95W,81,1,2,False,1,False,False,confirmation
Aktau,Kazakhstan,44.20N,51.43E,48,1,12,False,1,False,False,confirmation
Alandur,India,13.66N,80.09E,43,2,7,False,5,False,False,confirmation
Alanya,Turkey,36.17N,31.82E,67,12,12,True,0,False,False,confirmation
Alappuzha,India,8.84N,77.03E,41,2,7,False,5,False,False,confirmation
Albacete,Spain,39.38N,2.08W,97,1,1,True,0,False,False,confirmation
Albuquerque,United States,34.56N,107.03W,25,12,1,False,1,False,False,confirmation
Alcobendas,Spain,40.99N,4.26W,97,1,1,True,0,False,False,confirmation
Alcorcón,Spain,40.99N,4.26W,97,1,1,True,0,False,False,confirmation
Alexandria,Egypt,31.35N,30.16E,56,12,1,False,1,False,False,confirmation
Alexandria,United States,39.38N,76.99W,81,1,2,False,1,False,False,confirmation
Algeciras,Spain,36.17N,5.97W,97,1,1,True,0,False,False,confirmation
Allentown,United States,40.99N,74.56W,81,1,2,False,1,False,False,confirmation
Almere,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,confirmation
Altay,China,47.42N,88.82E,28,1,1,True,0,False,False,confirmation
Alwar,India,28.13N,77.27E,43,3,1,False,2,False,False,confirmation
Amarillo,United States,34.56N,101.19W,29,1,2,False,1,False,False,confirmation
Ambala,India,29.74N,77.54E,38,3,1,False,2,False,False,confirmation
Ambarnath,India,18.48N,72.68E,43,1,1,True,0,False,False,confirmation
Amol,Iran,36.17N,51.71E,22,1,12,False,1,False,False,confirmation
Amravati,India,21.70N,77.02E,43,1,1,True,0,False,False,confirmation
Anand,India,23.31N,72.52E,43,1,1,True,0,False,False,confirmation
Ancona,Italy,44.20N,13.42E,97,1,1,True,0,False,False,confirmation
Angarsk,Russia,52.24N,105.11E,29,1,1,True,0,False,False,confirmation
Angers,France,47.42N,1.18W,97,1,1,True,0,False,False,confirmation
Ankara,Turkey,39.38N,33.29E,80,1,12,False,1,False,False,confirmation
Ann Arbor,United States,42.59N,82.91W,83,1,2,False,1,False,False,confirmation
Antakya,Turkey,36.17N,35.80E,55,12,12,True,0,False,False,confirmation
Antalya,Turkey,37.78N,30.51E,76,1,12,False,1,False,False,confirmation
Aqtöbe,Kazakhstan,50.63N,57.04E,49,1,12,False,1,False,False,confirmation
Arkhangelsk,Russia,65.09N,40.21E,97,1,1,True,0,False,False,confirmation
Arlington,United States,32.95N,96.70W,30,12,2,False,2,False,False,confirmation
Arnhem,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,confirmation
Aryanah,Tunisia,36.17N,9.94E,97,1,1,True,0,False,False,confirmation
Arzamas,Russia,55.45N,42.52E,97,1,12,False,1,False,False,confirmation
Asansol,India,23.31N,86.50E,43,1,1,True,0,False,False,confirmation
Ashqelon,Israel,31.35N,33.93E,38,12,3,False,3,False,False,confirmation
Astana,Kazakhstan,50.63N,72.25E,32,1,12,False,1,False,False,confirmation
Athens,Greece,37.78N,24.41E,97,1,1,True,0,False,False,confirmation
Atyrau,Kazakhstan,47.42N,50.92E,49,1,12,False,1,False,False,confirmation
Austin,United States,29.74N,97.85W,28,1,2,False,1,False,False,confirmation
Azamgarh,India,26.52N,82.39E,43,1,1,True,0,False,False,confirmation
Badalona,Spain,40.99N,2.13E,97,1,1,True,0,False,False,confirmation
Badlapur,India,18.48N,72.68E,43,1,1,True,0,False,False,confirmation
Bagaha,India,26.52N,84.18E,43,1,1,True,0,False,False,confirmation
Baghdad,Iraq,32.95N,45.00E,26,12,12,True,0,False,False,confirmation
Ballia,India,26.52N,84.18E,43,1,1,True,0,False,False,confirmation
Balti,Moldova,47.42N,27.24E,97,1,12,False,1,False,False,confirmation
Baltimore,United States,39.38N,76.99W,81,1,2,False,1,False,False,confirmation
Balurghat,India,24.92N,88.67E,43,3,1,False,2,False,False,confirmation
Baneh,Iran,36.17N,45.75E,27,12,12,True,0,False,False,confirmation
Bangalore,India,12.05N,77.26E,43,2,7,False,5,False,False,confirmation
Banja Luka,Bosnia And Herzegovina,44.20N,17.89E,97,1,1,True,0,False,False,confirmation
Bankura,India,23.31N,86.50E,43,1,1,True,0,False,False,confirmation
Baoding,China,39.38N,114.45E,28,2,12,False,2,False,False,confirmation
