City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
A Coruña,Spain,42.59N,8.73W,97,1,1,True,0,False,False,development
Abakan,Russia,53.84N,91.36E,29,1,1,True,0,False,False,development
Achalpur,India,21.70N,77.02E,43,1,1,True,0,False,False,development
Acheng,China,45.81N,128.08E,29,1,1,True,0,False,False,development
Achinsk,Russia,57.05N,90.00E,29,1,1,True,0,False,False,development
Adana,Turkey,36.17N,35.80E,55,12,12,True,0,False,False,development
Adilabad,India,20.09N,78.48E,43,1,1,True,0,False,False,development
Ahmadabad,India,23.31N,72.52E,43,1,1,True,0,False,False,development
Ahmadnagar,India,18.48N,74.37E,43,1,1,True,0,False,False,development
Aksaray,Turkey,37.78N,34.58E,68,1,12,False,1,False,False,development
Akyab,Burma,20.09N,92.13E,43,1,1,True,0,False,False,development
Alcalá De Henares,Spain,40.99N,4.26W,97,1,1,True,0,False,False,development
Aleppo,Syria,36.17N,37.79E,42,12,12,True,0,False,False,development
Algiers,Algeria,36.17N,3.98E,97,1,1,True,0,False,False,development
Aligarh,India,28.13N,77.27E,43,3,1,False,2,False,False,development
Allahabad,India,24.92N,81.58E,43,1,1,True,0,False,False,development
Almería,Spain,36.17N,1.99W,97,1,1,True,0,False,False,development
Almetyevsk,Russia,55.45N,51.02E,95,1,12,False,1,False,False,development
Amadora,Portugal,39.38N,8.32W,97,1,1,True,0,False,False,development
Ambattur,India,13.66N,80.09E,43,2,7,False,5,False,False,development
Ambur,India,12.05N,78.90E,43,1,7,False,6,False,False,development
Amersfoort,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,development
Amiens,France,49.03N,2.45E,97,1,1,True,0,False,False,development
Amroha,India,28.13N,79.09E,43,3,1,False,2,False,False,development
Amsterdam,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,development
Anantapur,India,15.27N,77.50E,43,1,1,True,0,False,False,development
Anda,China,45.81N,125.77E,29,1,1,True,0,False,False,development
Antwerp,Belgium,50.63N,3.80E,97,1,1,True,0,False,False,development
Apeldoorn,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,development
Apodaca,Mexico,26.52N,100.30W,22,1,11,False,2,False,False,development
Ara,India,24.92N,85.12E,43,1,1,True,0,False,False,development
Arad,Romania,45.81N,21.92E,97,1,1,True,0,False,False,development
Ardabil,Iran,37.78N,48.81E,27,12,12,True,0,False,False,development
Arlington,United States,39.38N,76.99W,81,1,2,False,1,False,False,development
Armavir,Russia,45.81N,40.38E,95,1,12,False,1,False,False,development
Arvada,United States,39.38N,106.13W,29,12,2,False,2,False,False,development
Asfi,Morocco,32.95N,8.62W,58,1,3,False,2,False,False,development
Ashdod,Israel,31.35N,33.93E,38,12,3,False,3,False,False,development
Astrakhan,Russia,45.81N,47.31E,50,1,12,False,1,False,False,development
Atlanta,United States,34.56N,83.68W,81,1,2,False,1,False,False,development
Augsburg,Germany,47.42N,10.66E,97,2,1,False,1,False,False,development
Aurangabad,India,20.09N,75.07E,43,1,1,True,0,False,False,development
Aurora,United States,39.38N,104.05W,29,12,2,False,2,False,False,development
Aurora,United States,40.99N,87.34W,83,1,2,False,1,False,False,development
Avadi,India,13.66N,80.09E,43,2,7,False,5,False,False,development
Babol,Iran,36.17N,51.71E,22,1,12,False,1,False,False,development
Bacau,Romania,45.81N,26.54E,97,1,12,False,1,False,False,development
Badajoz,Spain,39.38N,6.24W,97,1,1,True,0,False,False,development
Bago,Burma,16.87N,97.12E,40,1,12,False,1,False,False,development
Bahadurgarh,India,28.13N,77.27E,43,3,1,False,2,False,False,development
Baharampur,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Bahraich,India,28.13N,80.91E,43,3,1,False,2,False,False,development
Baia Mare,Romania,47.42N,22.50E,97,1,1,True,0,False,False,development
Baicheng,China,45.81N,123.46E,29,1,1,True,0,False,False,development
Baidyabati,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Baiyin,China,36.17N,103.43E,22,2,12,False,2,False,False,development
Baku,Azerbaijan,40.99N,48.99E,38,12,12,True,0,False,False,development
Balakovo,Russia,52.24N,47.30E,95,2,12,False,2,False,False,development
Balashikha,Russia,55.45N,36.85E,97,1,12,False,1,False,False,development
Baleshwar,India,21.70N,87.40E,43,1,1,True,0,False,False,development
Bally,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Banda,India,24.92N,79.80E,43,"1,2",1,True,0,True,False,development
Banda Aceh,Indonesia,5.63N,95.25E,41,1,1,True,0,False,False,development
Bandar E Anzali,Iran,37.78N,48.81E,27,12,12,True,0,False,False,development
Bangaon,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Bansbaria,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Baranagar,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Barcelona,Spain,40.99N,2.13E,97,1,1,True,0,False,False,development
Barddhaman,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Bareli,India,28.13N,79.09E,43,3,1,False,2,False,False,development
Bari,Italy,40.99N,17.04E,97,1,1,True,0,False,False,development
Baripada,India,21.70N,87.40E,43,1,1,True,0,False,False,development
Barsi,India,18.48N,76.06E,43,1,1,True,0,False,False,development
Basel,Switzerland,47.42N,8.29E,97,2,1,False,1,False,False,development
Bat Yam,Israel,31.35N,33.93E,38,12,3,False,3,False,False,development
Bataysk,Russia,47.42N,39.08E,96,1,12,False,1,False,False,development
Batman,Turkey,37.78N,40.68E,42,12,12,True,0,False,False,development
Bayamo,Cuba,20.09N,76.78W,27,12,12,True,0,False,False,development
Beawar,India,26.52N,73.43E,43,3,1,False,2,False,False,development
Begusarai,India,24.92N,86.90E,43,1,1,True,0,False,False,development
Beian,China,47.42N,126.71E,29,1,1,True,0,False,False,development
Beipiao,China,40.99N,121.42E,28,2,12,False,2,False,False,development
Belgorod,Russia,50.63N,36.76E,97,1,12,False,1,False,False,development
Belgrade,Serbia,44.20N,20.12E,97,1,1,True,0,False,False,development
Bene Beraq,Israel,32.95N,35.43E,41,12,12,True,0,False,False,development
Benghazi,Libya,32.95N,20.11E,95,1,1,True,0,False,False,development
Beni Suef,Egypt,29.74N,31.38E,38,12,3,False,3,False,False,development
Bergen,Norway,60.27N,6.49E,97,1,2,False,1,False,False,development
Berlin,Germany,52.24N,13.14E,97,1,1,True,0,False,False,development
Bern,Switzerland,47.42N,8.29E,97,2,1,False,1,False,False,development
Besançon,France,47.42N,5.92E,97,1,1,True,0,False,False,development
Bettiah,India,26.52N,84.18E,43,1,1,True,0,False,False,development
Bhadravati,India,13.66N,75.14E,43,2,1,False,1,False,False,development
Bhagalpur,India,24.92N,86.90E,43,1,1,True,0,False,False,development
Bharuch,India,21.70N,73.56E,43,1,1,True,0,False,False,development
Bhilai,India,21.70N,82.21E,43,2,1,False,1,False,False,development
Bhilwara,India,24.92N,74.48E,43,1,1,True,0,False,False,development
Bhind,India,26.52N,78.81E,43,3,1,False,2,False,False,development
Bhiwandi,India,20.09N,73.36E,43,1,1,True,0,False,False,development
Bhiwani,India,28.13N,75.45E,43,3,1,False,2,False,False,development
Bhubaneswar,India,20.09N,85.31E,43,2,1,False,1,False,False,development
Bialystok,Poland,53.84N,23.18E,97,1,1,True,0,False,False,development
Bid,India,18.48N,76.06E,43,1,1,True,0,False,False,development
Bielefeld,Germany,52.24N,7.88E,97,1,1,True,0,False,False,development
Bihar,India,24.92N,85.12E,43,1,1,True,0,False,False,development
Bikaner,India,28.13N,73.64E,43,3,1,False,2,False,False,development
Bilaspur,India,21.70N,82.21E,43,2,1,False,1,False,False,development
Bilbao,Spain,42.59N,2.18W,97,1,1,True,0,False,False,development
Birganj,Nepal,26.52N,84.18E,43,1,1,True,0,False,False,development
Birmingham,United States,32.95N,87.13W,81,1,2,False,1,False,False,development
Blackburn,United Kingdom,53.84N,1.36W,97,1,1,True,0,False,False,development
Blackpool,United Kingdom,53.84N,4.09W,97,1,1,True,0,False,False,development
Bolton,United Kingdom,53.84N,1.36W,97,1,1,True,0,False,False,development
Bombay,India,18.48N,72.68E,43,1,1,True,0,False,False,development
Bordeaux,France,44.20N,0.00W,97,1,1,True,0,False,False,development
Borujerd,Iran,34.56N,48.65E,24,1,12,False,1,False,False,development
Boston,United States,42.59N,72.00W,81,1,2,False,1,False,False,development
Botad,India,21.70N,71.83E,41,1,1,True,0,False,False,development
Botosani,Romania,47.42N,27.24E,97,1,12,False,1,False,False,development
Bottrop,Germany,52.24N,7.88E,97,1,1,True,0,False,False,development
Bournemouth,United Kingdom,50.63N,1.27W,97,1,1,True,0,False,False,development
Bradford,United Kingdom,53.84N,1.36W,97,1,1,True,0,False,False,development
Braga,Portugal,40.99N,8.52W,97,1,1,True,0,False,False,development
Brahmapur,India,18.48N,84.51E,43,2,1,False,1,False,False,development
Braila,Romania,45.81N,28.85E,97,1,12,False,1,False,False,development
Brasov,Romania,45.81N,26.54E,97,1,12,False,1,False,False,development
Bratsk,Russia,55.45N,102.05E,29,1,1,True,0,False,False,development
Breda,Netherlands,52.24N,5.26E,97,1,1,True,0,False,False,development
Brescia,Italy,45.81N,10.38E,97,1,1,True,0,False,False,development
Brest,Belarus,52.24N,23.65E,97,1,1,True,0,False,False,development
Brest,France,49.03N,4.90W,97,1,1,True,0,False,False,development
Bridgeport,United States,40.99N,72.43W,81,1,2,False,1,False,False,development
Brighton,United Kingdom,50.63N,1.27W,97,1,1,True,0,False,False,development
Brno,Czech Republic,49.03N,17.14E,97,1,1,True,0,False,False,development
